Student_ID,Gender,Faculty,Semester/Year,Attendance (%),Assignment Completion (%),Internal Marks (out of 50),Previous Term Marks (%),Project/Practical Score (%),Study Hours per Week,Parental Education,Parental Support,Internet Access,Extra-curricular,Engagement_Score,Improvement,Final Grade,Final_Grade_Encoded
S3910,Male,Engineering,3,96,61,23,34,77,10,High,Yes,Yes,Low,78.5,14.5,C,2
S3911,Female,Engineering,4,58,22,7,72,82,7,Medium,No,No,Low,40.0,-11.0,D,1
S3912,Female,Management,6,90,97,36,95,20,29,Low,Yes,No,High,93.5,12.25,B,3
S3913,Male,Engineering,5,97,40,40,100,47,26,Low,No,No,High,68.5,15.0,A,4
S3914,Male,Humanities,2,38,92,29,42,48,3,Low,Yes,Yes,Medium,65.0,18.5,D,1
S3915,Male,Science,4,46,96,19,89,47,6,Low,Yes,Yes,High,71.0,-3.25,D,1
S3916,Female,Science,5,78,72,22,35,93,23,Medium,Yes,Yes,High,75.0,13.25,D,1
S3917,Female,Humanities,8,92,63,36,84,87,31,Medium,Yes,No,Low,77.5,15.0,A,4
S3918,Female,Management,7,75,65,9,64,60,18,Low,Yes,Yes,High,70.0,-7.0,D,1
S3919,Female,Humanities,2,42,56,32,26,74,34,High,No,No,Low,49.0,25.5,D,1
S3920,Male,Science,4,74,57,23,64,51,2,Medium,Yes,Yes,Low,65.5,7.0,D,1
S3921,Male,Humanities,3,82,57,35,58,88,17,High,Yes,Yes,Low,69.5,20.5,C,2
S3922,Male,Management,5,46,30,15,69,41,36,High,No,Yes,Medium,38.0,-2.25,F,0
S3923,Female,Science,5,76,64,49,68,76,21,High,Yes,No,Low,70.0,32.0,B,3
S3924,Male,Management,3,91,83,27,67,41,32,Low,No,Yes,High,87.0,10.25,C,2
S3925,Female,Humanities,7,79,63,11,68,85,37,Low,No,Yes,High,71.0,-6.0,D,1
S3926,Female,Engineering,1,72,100,19,59,60,38,Low,No,No,Low,86.0,4.25,D,1
S3927,Male,Humanities,4,97,81,46,58,62,33,High,Yes,Yes,Low,89.0,31.5,A,4
S3928,Male,Management,3,57,80,17,76,53,22,High,No,No,Low,68.5,-2.0,D,1
S3929,Male,Humanities,8,74,31,36,82,21,34,Medium,Yes,No,Low,52.5,15.5,A,4
S3930,Female,Engineering,5,70,28,25,75,78,28,Medium,No,Yes,Low,49.0,6.25,C,2
S3931,Female,Management,8,65,86,45,21,55,1,Low,No,No,High,75.5,39.75,C,2
S3932,Male,Humanities,4,62,93,6,45,27,13,Medium,Yes,No,Medium,77.5,-5.25,D,1
S3933,Male,Management,7,54,21,42,42,52,7,High,No,No,Low,37.5,31.5,C,2
S3934,Female,Management,4,48,27,46,37,52,0,High,Yes,No,Low,37.5,36.75,B,3
S3935,Male,Science,8,76,62,20,87,87,27,High,Yes,Yes,Medium,69.0,-1.75,C,2
S3936,Female,Science,8,62,37,42,79,37,2,Low,No,No,Low,49.5,22.25,B,3
S3937,Female,Management,1,96,71,31,21,83,6,Medium,No,Yes,High,83.5,25.75,C,2
S3938,Male,Humanities,5,43,58,6,68,80,33,High,No,Yes,High,50.5,-11.0,D,1
S3939,Male,Humanities,2,62,50,22,57,29,31,Low,Yes,No,Medium,56.0,7.750000000000002,D,1
S3940,Male,Humanities,1,71,33,19,50,69,8,Low,Yes,Yes,Low,52.0,6.5,D,1
S3941,Male,Engineering,1,94,83,19,59,41,34,Medium,Yes,No,Low,88.5,4.25,D,1
S3942,Female,Management,2,76,63,31,99,58,18,High,Yes,Yes,High,69.5,6.25,B,3
S3943,Female,Management,2,64,79,25,72,84,14,Low,No,No,High,71.5,7.0,C,2
S3944,Female,Engineering,7,61,21,35,83,49,30,Low,No,No,Low,41.0,14.25,B,3
S3945,Male,Management,7,84,51,23,52,24,15,High,Yes,Yes,Low,67.5,10.0,D,1
S3946,Female,Management,1,83,55,0,77,45,36,Low,No,No,Low,69.0,-19.25,D,1
S3947,Male,Engineering,4,80,74,27,69,82,6,Low,Yes,No,Low,77.0,9.75,C,2
S3948,Male,Science,3,88,82,25,83,65,34,Medium,Yes,No,Low,85.0,4.25,C,2
S3949,Male,Management,3,43,88,33,22,50,28,Medium,No,Yes,High,65.5,27.5,D,1
S3950,Male,Engineering,1,47,99,25,80,60,1,Medium,Yes,Yes,High,73.0,5.0,C,2
S3951,Male,Humanities,4,84,59,35,29,31,33,Medium,Yes,Yes,High,71.5,27.75,C,2
S3952,Male,Science,2,85,43,4,85,36,34,Medium,Yes,No,High,64.0,-17.25,D,1
S3953,Female,Humanities,6,78,77,1,70,37,30,High,Yes,No,Medium,77.5,-16.5,D,1
S3954,Male,Management,1,89,47,31,49,85,11,Low,No,Yes,High,68.0,18.75,C,2
S3955,Female,Science,5,82,81,33,44,58,0,High,Yes,Yes,Low,81.5,22.0,C,2
S3956,Female,Engineering,4,100,44,49,62,93,28,High,Yes,Yes,High,72.0,33.5,A,4
S3957,Male,Management,5,35,26,29,83,52,0,Medium,Yes,Yes,High,30.5,8.25,C,2
S3958,Male,Engineering,5,99,57,23,78,94,0,High,Yes,Yes,High,78.0,3.5,C,2
S3959,Male,Science,1,37,90,27,81,27,14,Low,Yes,Yes,Medium,63.5,6.75,D,1
S3960,Female,Humanities,4,44,64,45,29,45,2,High,No,No,High,54.0,37.75,C,2
S3961,Male,Management,5,55,51,2,83,95,13,High,Yes,Yes,High,53.0,-18.75,D,1
S3962,Female,Management,7,68,51,49,79,54,9,Medium,No,No,Low,59.5,29.25,B,3
S3963,Male,Engineering,8,32,20,9,39,76,2,High,No,Yes,Low,26.0,-0.75,F,0
S3964,Male,Science,7,86,93,5,68,98,19,High,Yes,Yes,Low,89.5,-12.0,D,1
S3965,Female,Engineering,4,39,64,33,93,40,35,Medium,No,No,Low,51.5,9.75,C,2
S3966,Female,Science,3,32,83,30,46,56,26,Low,No,Yes,Medium,57.5,18.5,D,1
S3967,Male,Management,8,75,87,42,70,24,35,Medium,No,Yes,High,81.0,24.5,B,3
S3968,Female,Science,6,51,26,49,76,36,10,Medium,No,No,Medium,38.5,30.0,B,3
S3969,Female,Management,5,96,57,45,98,44,2,High,Yes,No,High,76.5,20.5,A,4
S3970,Female,Science,5,94,89,12,98,80,23,Medium,Yes,Yes,Low,91.5,-12.5,B,3
S3971,Female,Humanities,4,48,72,38,56,56,38,Medium,Yes,No,High,60.0,24.0,C,2
S3972,Female,Science,7,91,94,19,22,85,9,Low,No,No,High,92.5,13.5,D,1
S3973,Male,Humanities,6,86,92,31,48,32,25,High,Yes,Yes,High,89.0,19.0,C,2
S3974,Male,Science,3,42,49,9,87,59,31,Low,Yes,Yes,Medium,45.5,-12.75,D,1
S3975,Female,Science,5,45,41,25,66,61,7,Low,No,Yes,Low,43.0,8.5,C,2
S3976,Male,Engineering,1,45,77,18,99,89,12,Medium,Yes,No,Low,61.0,-6.75,B,3
S3977,Male,Engineering,7,81,92,28,88,94,2,Low,Yes,Yes,Medium,86.5,6.0,B,3
S3978,Female,Management,4,70,74,12,40,44,14,Low,Yes,Yes,Medium,72.0,2.0,F,0
S3979,Male,Engineering,4,77,65,33,61,61,20,Medium,Yes,No,Medium,71.0,17.75,C,2
S3980,Female,Science,7,68,45,19,40,29,28,Medium,No,No,Low,56.5,9.0,F,0
S3981,Female,Engineering,5,42,83,43,21,62,26,High,Yes,No,Low,62.5,37.75,C,2
S3982,Male,Science,3,33,99,39,97,87,29,Medium,No,Yes,Low,66.0,14.75,A,4
S3983,Female,Humanities,5,72,28,17,88,47,13,Medium,Yes,Yes,Medium,50.0,-5.0,C,2
S3984,Female,Science,7,75,34,33,26,43,40,Medium,No,Yes,Medium,54.5,26.5,D,1
S3985,Female,Management,8,76,38,47,94,60,14,High,Yes,No,Low,57.0,23.5,A,4
S3986,Female,Humanities,2,82,35,7,54,80,13,Low,Yes,Yes,High,58.5,-6.5,D,1
S3987,Female,Management,5,54,44,15,49,24,24,Medium,Yes,No,High,49.0,2.75,F,0
S3988,Male,Management,6,70,70,39,63,30,26,High,No,Yes,Low,70.0,23.25,B,3
S3989,Male,Management,8,32,96,22,65,27,1,Medium,Yes,No,High,64.0,5.75,D,1
S3990,Female,Engineering,7,42,65,31,74,40,16,Low,No,Yes,Medium,53.5,12.5,C,2
S3991,Female,Management,8,47,26,12,20,83,14,Low,Yes,Yes,Low,36.5,7.0,D,1
S3992,Male,Humanities,6,66,53,25,73,24,26,Medium,No,Yes,Medium,59.5,6.75,C,2
S3993,Female,Science,8,72,77,37,99,53,9,Medium,No,Yes,High,74.5,12.25,A,4
S3994,Male,Management,8,63,97,0,20,28,8,High,Yes,Yes,Low,80.0,-5.0,F,0
S3995,Female,Humanities,7,84,42,1,82,57,2,Low,Yes,Yes,High,63.0,-19.5,D,1
S3996,Female,Management,2,81,42,38,74,62,23,Medium,No,Yes,Medium,61.5,19.5,A,4
S3997,Female,Science,6,65,36,12,96,29,0,Medium,Yes,No,Low,50.5,-12.0,D,1
S3998,Female,Humanities,6,83,32,26,46,31,37,Medium,No,No,Medium,57.5,14.5,D,1
S3999,Female,Humanities,1,88,46,3,34,37,5,Medium,No,No,Medium,67.0,-5.5,F,0
S4000,Female,Science,4,81,85,40,100,31,4,High,No,No,Medium,83.0,15.0,B,3
S4001,Female,Humanities,6,48,49,50,28,50,3,High,Yes,No,Medium,48.5,43.0,C,2
S4002,Male,Science,4,41,23,19,88,30,2,Low,Yes,Yes,Low,32.0,-3.0,D,1
S4003,Male,Humanities,7,40,86,2,78,46,29,Low,No,No,High,63.0,-17.5,F,0
S4004,Male,Humanities,3,77,33,22,42,40,35,High,No,No,High,55.0,11.5,D,1
S4005,Female,Science,5,45,30,1,30,93,22,Low,No,Yes,Medium,37.5,-6.5,F,0
S4006,Female,Science,1,100,59,15,43,32,6,High,No,No,Medium,79.5,4.25,D,1
S4007,Female,Humanities,7,76,22,9,91,64,31,Medium,Yes,No,Medium,49.0,-13.75,D,1
S4008,Female,Humanities,2,96,20,27,73,66,9,Medium,No,No,High,58.0,8.75,B,3
S4009,Female,Science,3,60,28,43,50,44,36,High,No,No,Low,44.0,30.5,C,2
S4010,Female,Engineering,8,37,92,17,41,96,32,Medium,Yes,Yes,High,64.5,6.75,D,1
S4011,Female,Science,1,90,95,1,33,83,25,Medium,No,No,High,92.5,-7.25,F,0
S4012,Male,Humanities,1,73,20,13,24,89,30,High,No,Yes,Medium,46.5,7.0,F,0
S4013,Female,Humanities,7,79,35,43,36,47,29,Medium,Yes,No,Medium,57.0,34.0,C,2
S4014,Male,Humanities,2,64,91,19,90,39,22,Low,No,No,Low,77.5,-3.5,C,2
S4015,Male,Science,2,90,65,39,63,60,28,Medium,Yes,No,Medium,77.5,23.25,B,3
S4016,Female,Humanities,4,84,29,22,98,23,7,Low,No,Yes,Medium,56.5,-2.5,C,2
S4017,Female,Engineering,5,95,52,6,68,88,15,High,Yes,No,Medium,73.5,-11.0,D,1
S4018,Male,Management,7,43,60,44,84,43,8,Low,Yes,Yes,High,51.5,23.0,B,3
S4019,Male,Engineering,3,33,70,46,23,36,3,Medium,Yes,No,Low,51.5,40.25,C,2
S4020,Female,Science,5,46,41,13,28,24,18,Low,Yes,No,Low,43.5,5.999999999999999,F,0
S4021,Female,Humanities,3,98,35,36,55,76,38,Medium,No,No,High,66.5,22.25,C,2
S4022,Male,Science,1,53,94,7,70,45,40,Medium,Yes,No,High,73.5,-10.5,F,0
S4023,Female,Management,6,78,81,49,51,91,12,Low,No,Yes,Medium,79.5,36.25,B,3
S4024,Female,Science,6,84,72,4,37,92,11,Medium,Yes,Yes,Low,78.0,-5.25,F,0
S4025,Female,Humanities,7,100,94,22,34,36,8,Low,Yes,No,High,97.0,13.5,D,1
S4026,Male,Management,2,52,33,40,39,75,11,Medium,Yes,No,High,42.5,30.25,C,2
S4027,Male,Management,2,41,78,9,77,27,23,High,No,Yes,Medium,59.5,-10.25,D,1
S4028,Male,Humanities,8,40,45,48,59,83,12,High,Yes,Yes,Medium,42.5,33.25,B,3
S4029,Female,Humanities,1,58,63,26,85,88,34,Low,Yes,Yes,Low,60.5,4.75,B,3
S4030,Female,Humanities,1,91,39,34,32,29,31,Low,Yes,No,Low,65.0,26.0,C,2
S4031,Male,Science,3,82,24,0,32,69,37,High,Yes,No,Low,53.0,-8.0,F,0
S4032,Male,Engineering,1,77,84,6,81,74,13,High,No,No,Medium,80.5,-14.25,D,1
S4033,Male,Science,8,95,30,46,47,33,1,High,Yes,Yes,Low,62.5,34.25,A,4
S4034,Female,Science,7,77,66,50,65,46,20,High,No,Yes,Medium,71.5,33.75,A,4
S4035,Male,Engineering,3,88,29,7,34,24,30,Medium,No,No,Low,58.5,-1.5,D,1
S4036,Male,Humanities,5,100,80,10,63,98,34,Low,No,Yes,Medium,90.0,-5.75,D,1
S4037,Female,Humanities,2,86,64,33,42,47,15,Low,Yes,Yes,Low,75.0,22.5,C,2
S4038,Female,Engineering,2,32,66,27,86,24,39,High,No,Yes,High,49.0,5.5,D,1
S4039,Female,Engineering,6,61,53,33,97,31,25,Low,No,No,Medium,57.0,8.75,C,2
S4040,Male,Science,6,37,32,42,85,27,37,Low,Yes,Yes,High,34.5,20.75,B,3
S4041,Female,Management,8,59,42,19,69,78,2,Medium,No,Yes,Low,50.5,1.75,C,2
S4042,Female,Engineering,7,44,55,27,32,84,36,Medium,Yes,No,Medium,49.5,19.0,D,1
S4043,Male,Science,2,84,82,48,21,79,35,Low,No,No,Low,83.0,42.75,C,2
S4044,Female,Management,8,67,95,41,95,99,37,Medium,No,No,Medium,81.0,17.25,A,4
S4045,Male,Humanities,7,44,66,36,53,74,1,High,Yes,No,High,55.0,22.75,C,2
S4046,Male,Humanities,5,59,85,2,59,62,21,Low,No,No,Low,72.0,-12.75,D,1
S4047,Female,Science,5,75,99,8,88,60,2,Medium,No,Yes,Medium,87.0,-14.0,D,1
S4048,Female,Science,4,93,33,21,80,29,39,Medium,No,Yes,High,63.0,1.0,C,2
S4049,Female,Engineering,3,55,72,24,44,94,25,Low,Yes,Yes,High,63.5,13.0,C,2
S4050,Female,Humanities,6,96,85,1,94,26,26,Low,Yes,No,High,90.5,-22.5,D,1
S4051,Female,Science,3,65,68,22,96,40,37,High,Yes,Yes,Low,66.5,-2.0,C,2
S4052,Female,Humanities,6,60,35,50,82,94,7,Medium,No,Yes,Low,47.5,29.5,A,4
S4053,Male,Humanities,4,69,87,16,47,63,22,Low,Yes,No,High,78.0,4.25,D,1
S4054,Male,Engineering,2,75,62,24,75,56,5,Medium,Yes,No,Medium,68.5,5.25,C,2
S4055,Female,Management,8,71,96,11,45,63,24,Medium,No,Yes,Low,83.5,-0.25,D,1
S4056,Male,Engineering,7,47,84,26,46,84,15,Medium,No,No,Low,65.5,14.5,D,1
S4057,Female,Science,3,65,28,19,45,25,25,Medium,Yes,Yes,Low,46.5,7.75,D,1
S4058,Male,Engineering,6,79,40,8,34,57,14,Low,Yes,Yes,High,59.5,-0.5,F,0
S4059,Male,Engineering,3,90,62,22,69,62,31,Low,No,No,Medium,76.0,4.75,C,2
S4060,Male,Humanities,2,69,85,35,25,76,39,High,Yes,No,Low,77.0,28.75,D,1
S4061,Female,Engineering,7,32,23,27,87,94,18,Low,Yes,No,Medium,27.5,5.25,C,2
S4062,Male,Science,1,36,26,49,23,99,13,Medium,No,No,Low,31.0,43.25,C,2
S4063,Female,Management,6,60,77,47,49,89,34,High,No,Yes,Low,68.5,34.75,C,2
S4064,Male,Engineering,8,94,23,28,96,84,25,Low,No,Yes,Medium,58.5,4.0,A,4
S4065,Male,Engineering,1,93,39,41,28,74,36,Low,No,Yes,Medium,66.0,34.0,C,2
S4066,Male,Management,4,32,54,31,61,54,12,High,No,Yes,Medium,43.0,15.75,D,1
S4067,Male,Science,7,64,78,11,33,43,7,Low,Yes,No,High,71.0,2.75,D,1
S4068,Male,Science,5,44,64,29,59,57,13,Low,Yes,Yes,Medium,54.0,14.25,C,2
S4069,Female,Engineering,3,50,33,10,22,22,25,Low,Yes,No,Medium,41.5,4.5,F,0
S4070,Female,Humanities,6,91,41,36,60,70,29,Medium,No,No,Medium,66.0,21.0,C,2
S4071,Male,Engineering,8,57,67,19,52,80,39,High,No,No,Medium,62.0,6.0,C,2
S4072,Male,Management,3,33,49,10,98,59,12,High,Yes,Yes,Medium,41.0,-14.5,C,2
S4073,Male,Management,4,42,48,47,79,73,35,Medium,Yes,No,Medium,45.0,27.25,B,3
S4074,Male,Management,4,80,55,46,83,85,10,High,No,Yes,Medium,67.5,25.25,A,4
S4075,Female,Engineering,3,77,61,37,81,79,1,Low,No,No,Low,69.0,16.75,B,3
S4076,Male,Engineering,6,68,48,44,98,34,29,Medium,Yes,Yes,Medium,58.0,19.5,A,4
S4077,Female,Science,8,96,26,15,26,65,23,Medium,No,Yes,Medium,61.0,8.5,D,1
S4078,Male,Humanities,7,87,51,34,95,74,17,Medium,Yes,No,Medium,69.0,10.25,B,3
S4079,Female,Engineering,2,31,32,49,69,23,22,High,No,No,Medium,31.5,31.75,C,2
S4080,Male,Science,7,54,32,0,58,43,5,Medium,Yes,Yes,Medium,43.0,-14.499999999999998,F,0
S4081,Male,Engineering,2,40,73,24,90,59,10,Medium,No,No,Low,56.5,1.5,D,1
S4082,Female,Science,8,30,33,48,66,46,6,Medium,Yes,No,High,31.5,31.5,B,3
S4083,Male,Science,5,77,25,26,89,98,32,High,No,No,Medium,51.0,3.75,B,3
S4084,Male,Humanities,7,77,35,31,45,71,9,High,No,Yes,Low,56.0,19.75,C,2
S4085,Male,Engineering,8,39,60,5,77,56,20,High,Yes,Yes,High,49.5,-14.25,F,0
S4086,Female,Science,3,59,71,40,92,20,8,Medium,No,No,Medium,65.0,17.0,B,3
S4087,Male,Management,3,64,35,35,70,95,29,Low,No,No,Low,49.5,17.5,B,3
S4088,Male,Management,6,48,24,38,71,28,24,High,Yes,No,High,36.0,20.25,C,2
S4089,Female,Management,3,82,43,22,35,37,24,Low,No,Yes,High,62.5,13.25,D,1
S4090,Female,Humanities,6,63,62,28,67,58,23,Low,No,Yes,High,62.5,11.25,B,3
S4091,Female,Science,8,61,84,29,46,94,11,High,Yes,No,High,72.5,17.5,C,2
S4092,Male,Humanities,3,35,29,21,52,94,6,High,Yes,No,High,32.0,8.0,D,1
S4093,Male,Engineering,4,42,78,10,42,49,33,Low,No,No,Low,60.0,-0.5,F,0
S4094,Male,Engineering,1,93,54,25,64,39,2,High,No,No,Medium,73.5,9.0,C,2
S4095,Female,Science,8,36,50,22,41,34,5,Low,No,No,High,43.0,11.75,F,0
S4096,Male,Management,3,74,98,2,61,83,26,Low,No,No,Low,86.0,-13.25,D,1
S4097,Male,Science,1,74,30,47,52,44,18,Medium,No,Yes,Medium,52.0,34.0,C,2
S4098,Female,Science,2,94,28,5,29,68,7,Low,No,No,Low,61.0,-2.249999999999999,F,0
S4099,Female,Science,5,48,85,6,66,86,35,Medium,No,Yes,Low,66.5,-10.5,D,1
S4100,Female,Humanities,7,76,63,43,98,45,38,Medium,Yes,No,High,69.5,18.5,A,4
S4101,Female,Engineering,7,75,35,38,58,64,35,High,No,No,Medium,55.0,23.5,C,2
S4102,Female,Science,8,58,67,50,65,25,17,High,No,No,Low,62.5,33.75,B,3
S4103,Male,Science,2,90,72,21,91,51,6,Low,Yes,Yes,Medium,81.0,-1.75,C,2
S4104,Female,Science,3,94,84,47,70,94,0,High,Yes,Yes,High,89.0,29.5,A,4
S4105,Male,Humanities,7,52,67,49,44,96,4,High,No,No,Medium,59.5,38.0,B,3
S4106,Male,Humanities,6,80,89,41,34,36,13,High,Yes,No,High,84.5,32.5,D,1
S4107,Female,Humanities,2,92,65,32,77,65,0,High,Yes,Yes,Low,78.5,12.75,B,3
S4108,Female,Science,4,51,94,39,78,72,11,Low,No,No,Medium,72.5,19.5,B,3
S4109,Female,Management,1,100,52,2,45,23,18,Medium,Yes,Yes,Medium,76.0,-9.25,D,1
S4110,Male,Management,6,62,71,29,60,97,1,Medium,Yes,No,High,66.5,14.0,C,2
S4111,Female,Management,7,73,100,47,63,47,13,Medium,No,Yes,High,86.5,31.25,A,4
S4112,Female,Engineering,6,36,74,23,41,90,2,High,No,No,Medium,55.0,12.75,D,1
S4113,Female,Science,3,31,70,2,56,35,34,High,No,No,Low,50.5,-12.000000000000002,F,0
S4114,Female,Management,4,46,59,1,33,97,12,Low,No,Yes,Low,52.5,-7.25,F,0
S4115,Female,Management,1,94,44,43,23,58,2,Medium,No,No,Low,69.0,37.25,C,2
S4116,Male,Management,4,87,82,39,43,49,13,Low,Yes,Yes,Low,84.5,28.25,C,2
S4117,Male,Science,2,59,41,18,85,98,33,Medium,No,Yes,High,50.0,-3.25,C,2
S4118,Male,Management,3,55,57,23,82,76,8,Low,No,Yes,High,56.0,2.5,C,2
S4119,Female,Management,6,64,28,49,84,75,9,Low,Yes,Yes,Low,46.0,28.0,A,4
S4120,Female,Science,6,92,56,19,85,58,7,Low,Yes,Yes,Low,74.0,-2.25,C,2
S4121,Female,Engineering,2,100,24,46,32,61,28,Medium,Yes,Yes,Medium,62.0,38.0,C,2
S4122,Male,Humanities,6,57,41,48,46,37,38,High,Yes,Yes,High,49.0,36.5,C,2
S4123,Female,Management,5,54,31,49,100,94,32,Medium,No,No,Low,42.5,24.0,A,4
S4124,Female,Humanities,3,90,79,30,36,41,22,High,No,Yes,Low,84.5,21.0,C,2
S4125,Female,Engineering,2,60,63,49,88,23,7,Low,Yes,Yes,Medium,61.5,27.0,B,3
S4126,Male,Engineering,3,83,41,40,76,22,39,Medium,No,Yes,Low,62.0,21.0,C,2
S4127,Female,Management,1,96,25,30,91,80,37,High,No,No,Medium,60.5,7.25,B,3
S4128,Male,Science,3,80,46,36,92,43,22,Medium,Yes,Yes,High,63.0,13.0,B,3
S4129,Female,Engineering,3,87,74,42,37,97,35,Medium,No,Yes,Low,80.5,32.75,B,3
S4130,Male,Humanities,1,63,34,28,35,71,19,Medium,Yes,No,Low,48.5,19.25,D,1
S4131,Male,Humanities,2,88,83,3,70,86,11,Low,Yes,No,Medium,85.5,-14.5,D,1
S4132,Male,Humanities,3,50,36,9,59,50,35,High,Yes,Yes,Medium,43.0,-5.75,F,0
S4133,Female,Humanities,4,85,22,35,58,72,8,Low,Yes,No,Low,53.5,20.5,B,3
S4134,Female,Engineering,3,66,29,34,75,80,32,High,No,No,High,47.5,15.25,C,2
S4135,Male,Management,2,93,82,47,73,77,5,Low,No,No,Low,87.5,28.75,A,4
S4136,Male,Management,8,48,82,20,63,54,31,Medium,No,No,Medium,65.0,4.25,C,2
S4137,Female,Humanities,6,82,81,42,65,50,0,Low,No,Yes,High,81.5,25.75,B,3
S4138,Female,Management,7,100,28,40,51,76,23,Medium,Yes,Yes,Low,64.0,27.25,B,3
S4139,Male,Humanities,1,92,43,0,67,95,28,High,No,Yes,High,67.5,-16.75,D,1
S4140,Female,Humanities,6,91,51,41,80,29,7,High,Yes,Yes,Medium,71.0,21.0,B,3
S4141,Female,Science,2,48,22,11,85,37,12,Medium,No,Yes,Medium,35.0,-10.25,D,1
S4142,Female,Engineering,5,31,52,23,57,75,24,Medium,Yes,Yes,Medium,41.5,8.750000000000002,D,1
S4143,Female,Engineering,7,35,62,1,62,55,28,Low,No,Yes,Low,48.5,-14.5,F,0
S4144,Male,Humanities,6,58,31,46,23,70,23,Low,No,Yes,High,44.5,40.25,C,2
S4145,Female,Engineering,3,70,51,19,24,80,26,Low,Yes,No,High,60.5,13.0,D,1
S4146,Female,Management,7,80,39,15,77,38,25,High,Yes,No,Medium,59.5,-4.25,D,1
S4147,Male,Humanities,3,34,86,33,56,100,19,Medium,No,No,Low,60.0,19.0,C,2
S4148,Male,Science,1,70,87,12,45,30,3,High,Yes,Yes,Medium,78.5,0.75,F,0
S4149,Female,Management,3,91,36,17,28,24,21,Medium,Yes,Yes,Medium,63.5,10.0,F,0
S4150,Female,Science,7,59,100,28,34,64,6,Medium,Yes,Yes,Low,79.5,19.5,D,1
S4151,Female,Science,4,91,38,50,45,64,17,High,Yes,Yes,Medium,64.5,38.75,B,3
S4152,Female,Engineering,4,56,23,42,82,67,9,Low,No,Yes,High,39.5,21.5,A,4
S4153,Male,Engineering,8,79,36,13,89,33,30,Low,No,Yes,Low,57.5,-9.25,D,1
S4154,Male,Humanities,6,81,83,29,46,47,25,High,Yes,Yes,Low,82.0,17.5,C,2
S4155,Male,Engineering,2,78,41,34,73,28,25,Medium,No,Yes,Medium,59.5,15.75,C,2
S4156,Female,Science,8,91,85,8,50,78,24,High,Yes,No,Low,88.0,-4.5,D,1
S4157,Female,Science,1,89,61,36,51,57,17,Low,No,Yes,Medium,75.0,23.25,C,2
S4158,Female,Management,5,83,95,45,21,44,23,Medium,Yes,Yes,Medium,89.0,39.75,C,2
S4159,Female,Science,8,34,64,38,37,91,14,High,No,Yes,Medium,49.0,28.75,D,1
S4160,Male,Humanities,6,38,30,11,47,67,7,Low,Yes,Yes,Medium,34.0,-0.75,D,1
S4161,Male,Humanities,2,63,72,20,90,38,24,Medium,Yes,Yes,High,67.5,-2.5,D,1
S4162,Female,Engineering,1,65,79,17,44,21,34,High,Yes,Yes,Medium,72.0,6.0,D,1
S4163,Male,Engineering,7,49,48,10,58,25,23,High,Yes,No,Low,48.5,-4.499999999999998,F,0
S4164,Female,Engineering,1,92,39,26,68,49,39,Low,No,No,Medium,65.5,9.0,C,2
S4165,Female,Humanities,7,96,24,23,23,80,37,High,Yes,Yes,Medium,60.0,17.25,D,1
S4166,Male,Science,6,59,44,40,71,21,20,High,Yes,No,Medium,51.5,22.25,C,2
S4167,Female,Engineering,2,98,53,42,87,70,0,High,Yes,Yes,High,75.5,20.25,A,4
S4168,Female,Management,8,99,31,49,76,32,25,High,Yes,No,Medium,65.0,30.0,B,3
S4169,Male,Engineering,2,32,47,33,32,68,9,Low,No,No,Medium,39.5,25.0,D,1
S4170,Female,Humanities,3,78,25,19,84,27,25,Medium,No,No,Low,51.5,-2.0,C,2
S4171,Female,Engineering,5,71,38,12,82,28,1,Medium,No,Yes,High,54.5,-8.5,C,2
S4172,Male,Science,4,53,31,46,90,42,39,High,No,No,Low,42.0,23.5,B,3
S4173,Female,Engineering,3,73,44,7,44,91,13,Low,No,Yes,Medium,58.5,-4.0,D,1
S4174,Male,Humanities,1,30,32,36,42,92,32,High,No,Yes,Low,31.0,25.5,D,1
S4175,Female,Humanities,5,83,100,4,49,35,38,High,Yes,Yes,Low,91.5,-8.25,F,0
S4176,Male,Management,5,81,95,6,80,35,0,High,No,No,High,88.0,-14.0,D,1
S4177,Male,Humanities,2,65,22,43,26,31,29,High,No,No,High,43.5,36.5,C,2
S4178,Male,Management,5,67,43,11,73,30,36,Medium,No,Yes,High,55.0,-7.25,D,1
S4179,Female,Science,6,73,27,40,36,32,17,High,No,No,Low,50.0,31.0,C,2
S4180,Male,Humanities,5,76,64,3,79,54,29,High,Yes,No,High,70.0,-16.75,F,0
S4181,Male,Engineering,1,58,91,39,85,62,26,High,Yes,Yes,Low,74.5,17.75,B,3
S4182,Male,Science,6,80,20,18,57,49,29,Medium,No,Yes,Low,50.0,3.7500000000000018,D,1
S4183,Male,Engineering,6,70,22,0,32,79,35,Low,Yes,Yes,Medium,46.0,-8.0,F,0
S4184,Male,Engineering,3,93,84,42,71,86,20,Low,Yes,No,Low,88.5,24.25,B,3
S4185,Female,Engineering,5,77,34,12,71,48,15,Low,Yes,No,Medium,55.5,-5.75,D,1
S4186,Female,Science,2,51,69,49,51,44,16,Low,Yes,No,Low,60.0,36.25,C,2
S4187,Female,Science,7,46,39,41,28,85,17,Low,No,Yes,Medium,42.5,34.0,C,2
S4188,Female,Humanities,3,34,22,44,36,24,33,High,Yes,No,High,28.0,35.0,C,2
